Function Name,Description,Potential R Functions with Same Functionality,Potential CRAN Packages with Same Functionality,Port?,Additional Remarks
spm_eeg_definetrial.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_dipoles_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_displayECD.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_downsample.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_epochs.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_filter.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_firstlevel.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_ft2spm.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_fuse.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_grad_pairs.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_grandmean.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_history.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_Mesh2Voxels.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_check.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_checkdatareg.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_checkforward.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_checkmeshes.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_custom_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_datareg.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_datareg_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_extract.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_extract_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_fmripriors.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_forward.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_forward_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_group.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_headcoordinates.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_help.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_icp.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_imag_api.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_image_display.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_mesh.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_mesh_spherify.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_mesh_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_results.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_results_display.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_results_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_rigidreg.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_spatnorm.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_transform_mesh.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_transform_points.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_vbecd.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_vbecd_disp.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_vbecd_getLF.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_vbecd_gui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_inv_visu3D_api.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_invert.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_invert_display.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_invert_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_lapmtx.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_layout3D.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_lgainmat.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_load.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_locate_channels.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_mask.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_mask2channels.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_merge.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_merge_TF.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_modality_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_montage.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_montage_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_morlet.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_plotScalpData.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_prep.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_prep_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_project3D.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_remove_bad_trials.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_render.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_review.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_review_callbacks.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_review_switchDisplay.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_review_uis.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_robust_averaget.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_sort_conditions.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_specest_ft_mtmconvol.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_specest_hilbert.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_specest_morlet.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_specest_mtmspec.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_tf.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_tf5.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_tf_rescale.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_weight_epochs.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_weight_epochs_TF.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_wrap_dipfit_vbecd.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeval.m,,,,,
spm_ekf.m,,,,,
spm_en.m,,,,,
spm_erode.m,,,,,
spm_est_smoothness.m,,,,,
spm_existfile.m,,,,,
spm_expm.m,,,,,
spm_fMRI_design.m,,,,,
spm_fMRI_design_show.m,,,,,
spm_fieldindices.m,,,,,
spm_figure.m,,,,,
spm_file.m,,,,,
spm_file_merge.m,,,,,
spm_file_split.m,,,,,
spm_fileparts.m,,,,,
spm_filter.m,,,,,
spm_flip_analyze_images.m,,,,,
spm_fmin.m,,,,,
spm_fmri_spm_ui.m,,,,,
spm_fn_reml.m,,,,,
spm_fp.m,,,,,
spm_fp_display_density.m,,,,,
spm_fp_display_nullclines.m,,,,,
spm_fp_fmin.m,,,,,
spm_fp_fun.m,,,,,
spm_funfun.m,,,,,
spm_fx_dcm.m,,,,,
spm_fx_fmri.m,,,,,
spm_fx_fmri_dcm.m,,,,,
spm_fx_fmri_linear.m,,,,,
spm_fx_hdm.m,,,,,
spm_fx_lz.m,,,,,
spm_fx_poly.m,,,,,
spm_gamrnd.m,,,,,
spm_getSPM.m,,,,,
spm_get_bbox.m,,,,,
spm_get_bf.m,,,,,
spm_get_data.m,,,,,
spm_get_def.m,,,,,
spm_get_defaults.m,,,,,
spm_get_image_def.m,,,,,
spm_get_lm.m,,,,,
spm_get_ons.m,,,,,
spm_get_orig_coord.m,,,,,
spm_get_space.m,,,,,
spm_get_vc.m,,,,,
spm_get_volumes.m,,,,,
spm_global.m,,,,,
spm_gn_fmin.m,,,,,
spm_graph.m,,,,,
spm_grid.m,,,,,
spm_gx_dcm.m,,,,,
spm_gx_fmri.m,,,,,
spm_gx_fmri_linear.m,,,,,
spm_gx_hdm.m,,,,,
spm_hanning.m,,,,,
spm_hdm_priors.m,,,,,
spm_hdm_ui.m,,,,,
spm_help.m,,,,,
spm_hilbert.m,,,,,
spm_hist.m,,,,,
spm_hist2.m,,,,,
spm_hrf.m,,,,,
spm_image.m,,,,,
spm_imatrix.m,,,,,
spm_imcalc.m,,,,,
spm_imcalc_ui.m,,,,,
spm_input.m,,,,,
spm_int.m,,,,,
spm_int_B.m,,,,,
spm_int_D.m,,,,,
spm_int_E.m,,,,,
spm_int_J.m,,,,,
spm_int_L.m,,,,,
spm_int_ode.m,,,,,
spm_int_sde.m,,,,,
spm_interp.m,,,,,
spm_inv.m,,,,,
spm_invBcdf.m,,,,No,
spm_invFcdf.m,,,,No,
spm_invGcdf.m,,,,No,
spm_invIcdf.m,,,,No,
spm_invNcdf.m,,,,No,
spm_invPcdf.m,,,,No,
spm_invTcdf.m,,,,No,
spm_invXcdf.m,,,,No,
spm_inv_phi.m,,,,,
spm_inv_spd.m,,,,,
spm_invdef.m,,,,,
spm_iwft.m,,,,,
spm_jobman.m,,,,,
spm_kernel.m,,,,,
spm_kernels.m,,,,,
spm_kl_dirichlet.m,,,,,
spm_kl_gamma.m,,,,,
spm_kl_normal.m,,,,,
spm_kl_normald.m,,,,,
spm_kl_wishart.m,,,,,
spm_kron.m,,,,,
spm_krutil.m,,,,,
spm_lg_gamma.m,,,,,
spm_list.m,,,,,
spm_load.m,,,,,
spm_load_float.m,,,,,
spm_load_priors.m,,,,,
spm_log_evidence.m,,,,,
spm_logdet.m,,,,,
spm_lorenz_k.m,,,,,
spm_lotka_volterra.m,,,,,
spm_maff.m,,,,,
spm_make_contrasts.m,,,,,
spm_mask.m,,,,,
spm_match_str.m,,,,,
spm_matlab_version_chk.m,,,,,
spm_matrix.m,,,,,
spm_max.m,,,,,
spm_mean_ui.m,,,,,
spm_meanby.m,,,,,
spm_mesh_adjacency.m,,,,,
spm_mesh_area.m,,,,,
spm_mesh_clusters.m,,,,,
spm_mesh_curvature.m,,,,,
spm_mesh_distmtx.m,,,,,
spm_mesh_edges.m,,,,,
spm_mesh_geodesic.m,,,,,
spm_mesh_get_lm.m,,,,,
spm_mesh_inflate.m,,,,,
spm_mesh_label.m,,,,,
spm_mesh_neighbours.m,,,,,
spm_mesh_normals.m,,,,,
spm_mesh_project.m,,,,,
spm_mesh_render.m,,,,,
spm_mesh_resels.m,,,,,
spm_mesh_smooth.m,,,,,
spm_mesh_split.m,,,,,
spm_mesh_to_grid.m,,,,,
spm_mesh_transform.m,,,,,
spm_mesh_utils.m,,,,,
spm_mfx.m,,,,,
spm_minmax.m,,,,,
spm_mip.m,,,,,
spm_mip_ui.m,,,,,
spm_mldivide.m,,,,,
